Candidates for manual review (count == 1)
Format: function_name | file | lineno | reference_count
finalizar_refatoramento_fichas | database_manager.py | 314 | 0
format_datetime | app.py | 379 | 0
formatar_registros_para_exibicao | service_manager.py | 9 | 0
from_json_filter | app.py | 99 | 0
gerenciar_agendamentos | app.py | 1879 | 0
gerenciar_pacientes_parametros | app.py | 2007 | 0
gerenciar_usuarios | app.py | 633 | 0
gestao_required | app.py | 324 | 0
get_cor_classificacao | logica.py | 659 | 0
get_cor_glicemia | logica.py | 648 | 0
get_db_connection | database_manager.py | 23 | 0
get_float_or_none | app.py | 111 | 0
get_hba1c_class | service_manager.py | 66 | 0
get_id | models.py | 38 | 0
get_int_or_none | app.py | 122 | 0
get_jejum_class | service_manager.py | 90 | 0
get_resumo_dashboard | logica.py | 579 | 0
get_resumo_dashboard_medico | logica.py | 585 | 0
get_status_class | app.py | 43 | 0
get_status_class | app.py | 362 | 0
get_status_class | logica.py | 670 | 0
get_user_id_by_username | database_manager.py | 901 | 0
guia_insulina | app.py | 1419 | 0
importar_alimentos | importar_dados.py | 10 | 0
index | app.py | 403 | 0
inicializar_db | database_manager.py | 42 | 0
inject_now | app.py | 399 | 0
is_admin | models.py | 48 | 0
is_cuidador | models.py | 61 | 0
is_medico | models.py | 43 | 0
is_paciente | models.py | 56 | 0
is_secretario | models.py | 52 | 0
lista_pacientes | app.py | 1636 | 0
lista_pacientes_alerta | app.py | 2139 | 0
listar_alimentos_simples | logica.py | 498 | 0
load_user | app.py | 284 | 0
login | app.py | 414 | 0
logout | app.py | 448 | 0
medico_required | app.py | 310 | 0
medico_tem_acesso_a_paciente | database_manager.py | 1580 | 0
medico_tem_acesso_a_paciente | database_manager.py | 1917 | 0
migrar_csv_para_json | migrar_alimentos.py | 11 | 0
migrar_fichas_medicas_antigas | database_manager.py | 262 | 0
minhas_consultas | app.py | 1855 | 0
mostrar_registros | logica.py | 564 | 0
novo_paciente | app.py | 1558 | 0
obter_agendamento_por_id | logica.py | 336 | 0
obter_calorias_diarias_para_grafico | database_manager.py | 2769 | 0
obter_carbs_diarios_para_grafico | database_manager.py | 2747 | 0
obter_dados_glicemia_para_grafico | database_manager.py | 2726 | 0
obter_fsi_por_horario | service_manager.py | 151 | 0
obter_pacientes_do_medico | database_manager.py | 1981 | 0
obter_pacientes_em_alerta_detalhado | database_manager.py | 2614 | 0
obter_pacientes_por_cuidador | database_manager.py | 1763 | 0
obter_pacientes_vinculados | database_manager.py | 2582 | 0
obter_parametros_clinicos | database_manager.py | 2391 | 0
obter_parametros_clinicos | db_adapter.py | 41 | 0
obter_parametros_clinicos | tests\test_bolus_quick.py | 12 | 0
obter_parametros_clinicos | tests\test_bolus_service.py | 12 | 0
obter_parametros_clinicos | tests\test_database_manager_adapter.py | 9 | 0
obter_resumo_medico_filtrado | database_manager.py | 2152 | 0
obter_resumo_paciente | database_manager.py | 2266 | 0
obter_ric_por_horario | service_manager.py | 137 | 0
obter_tipos_medicao | app.py | 349 | 0
obter_tipos_medicao | app.py | 182 | 0
obter_tipos_refeicao | app.py | 166 | 0
obter_todos_pacientes | database_manager.py | 836 | 0
obter_todos_pacientes_com_parametros | database_manager.py | 865 | 0
obter_usuario_por_id | database_manager.py | 498 | 0
paciente_required | app.py | 147 | 0
pacientes | app.py | 1654 | 0
perfil_paciente | app.py | 1674 | 0
pesquisar_alimentos | logica.py | 478 | 0
processar_dados_registro | logica.py | 604 | 0
processar_dados_registro | logica.py | 707 | 0
refeicao | app.py | 1296 | 0
registrar_alimento_redirect | app.py | 1223 | 0
registrar_glicemia | app.py | 787 | 0
registrar_refeicao | app.py | 868 | 0
registros | app.py | 774 | 0
relatorio_medico | app.py | 1665 | 0
relatorios | app.py | 1302 | 0
relatorios_page | relatorios.py | 104 | 0
safe_float | app.py | 699 | 0
salvar_agendamento | database_manager.py | 1725 | 0
salvar_alimento | database_manager.py | 1195 | 0
